FID,sample_effort_id,survey_date,project_name,observers,observers_affiliation,observers_secondary_affiliation,site_code,original_site_code,visit_type,revisit,area_surveyed,study_type,viereck_code,viereck_name,disturbance_type,location,latitude,longitude,elevation,quad_name,quad_number,collection_method,precision,map_source,map_scale,map_date,location_notes,usda_name_code,presence,usda_name_2,scientific_name,common_name,family,rank_code,infested_area,canopy_cover,stem_count,estimated_years_of_disturbance,herbarium,control_action,aggressiveness,species_notes,project_description,project_method,project_discussion,data_type
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dc2,521247,7/15/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHSL11-006,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.3486 64.76048),64.76048,-147.3486,,,,GPS,0-30,,,,Doughchee @ Beaver Springs Creeks,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dc1,521252,7/18/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHSL11-014,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.32603 64.76334),64.76334,-147.32603,,,,GPS,0-30,,,,Outside Hurst Blvd.,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dc0,521253,7/18/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHSL11-015,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.32533 64.76348),64.76348,-147.32533,,,,GPS,0-30,,,,Outside Hurst Blvd.,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dbf,521251,7/18/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHSL11-012,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.35065 64.75419),64.75419,-147.35065,,,,GPS,0-30,,,,Snow Man Lane (Kevin's Way),ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dbe,521250,7/18/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHSL11-013,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.35176 64.7543),64.7543,-147.35176,,,,GPS,0-30,,,,Snow Man Lane (Kevin's Way),ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dbd,521249,7/18/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHSL11-010,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.35182 64.75648),64.75648,-147.35182,,,,GPS,0-30,,,,St. Nicholas @ Chena Slough,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dbc,260230,7/18/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",CWMA,,CHSL11-009,,,no,0.5,Single species study,,,,POINT (-147.41119 64.814),64.814,-147.41119,,,,GPS,0-30,,,,Upstream of Nordale Rd,ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.1,50,,,None,,,Elodea nuttallii; Cover class 3: 26-75% cover,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dbb,521256,7/18/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHSL11-011,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.35298 64.75504),64.75504,-147.35298,,,,GPS,0-30,,,,Cary Ave @Chena Slough,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dba,521257,7/18/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHSL11-019,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.33583 64.74792),64.74792,-147.33583,,,,GPS,0-30,,,,8th Avenue upstream,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2db9,521258,7/18/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHSL11-020,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.3356 64.74812),64.74812,-147.3356,,,,GPS,0-30,,,,8th ave downstream,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2db8,521259,7/18/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHSL11-018,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.34515 64.75047),64.75047,-147.34515,,,,GPS,0-30,,,,5th Ave upstream,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2db7,521255,7/18/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHSL11-016,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.32744 64.75428),64.75428,-147.32744,,,,GPS,0-30,,,,Mission Rd Downstream,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2db6,521254,7/18/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHSL11-017,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.32654 64.75366),64.75366,-147.32654,,,,GPS,0-30,,,,Mission Rd Upstream,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2db5,521265,7/19/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHRI11-007,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.56984 64.82368),64.82368,-147.56984,,,,GPS,0-30,,,,"B-Channel Culvert @ Badger Gate, upstream",ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2db4,521267,7/19/2011,Fairbanks Elodea survey,"Sharp, T.",SWCD,,CHRI11-009,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.585541 64.808986),64.808986,-147.585541,,,,GPS,0-30,,,,"between culverts, B channel",ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2db3,521268,7/19/2011,Fairbanks Elodea survey,"Sharp, T.",SWCD,,CHRI11-010,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.585954 64.808386),64.808386,-147.585954,,,,GPS,0-30,,,,B channel,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2db2,259444,7/19/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",CWMA,,CHRI11-005,,,no,1,Single species study,,,,POINT (-147.65012 64.8434),64.8434,-147.65012,,,,GPS,0-30,,,,"Train Crossing, running trail",ELODE,TRUE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0.001,3,,,None,,,Elodea nuttallii; Cover class 1: 1-5% cover,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,,
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2db1,521260,7/19/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHRI11-001,,Reconnaissance,no,1,Single species study,,,,POINT (-147.65063 64.83485),64.83485,-147.65063,,,,GPS,0-30,,,,Upstream side of Chena River at River Rd.,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2db0,521261,7/19/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHRI11-006,,Reconnaissance,no,1,Single species study,,,,POINT (-147.57637 64.83301),64.83301,-147.57637,,,,GPS,0-30,,,,Single Lane Bridge,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2daf,521262,7/19/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHRI11-003,,Reconnaissance,no,1,Single species study,,,,POINT (-147.66115 64.83342),64.83342,-147.66115,,,,GPS,0-30,,,,Dock on F. Wainwright,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dae,521263,7/19/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHRI11-004,,Reconnaissance,no,1,Single species study,,,,POINT (-147.69548 64.83454),64.83454,-147.69548,,,,GPS,0-30,,,,Boat Launch Fort Wainwright,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dad,521266,7/19/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHRI11-008,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.56935 64.82397),64.82397,-147.56935,,,,GPS,0-30,,,,"B-Channel Culvert @ Badger Gate, downstream",ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dac,521264,7/19/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,CHRI11-002,,Reconnaissance,no,1,Single species study,,,,POINT (-147.66402 64.83298),64.83298,-147.66402,,,,GPS,0-30,,,,Boat Launch Fort Wainwright,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2dab,521275,7/20/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,APFL11-008,,Reconnaissance,no,0.25,Single species study,,,,POINT (-147.83136 64.82712),64.82712,-147.83136,,,,GPS,0-30,,,,Main Float Pond (middle of E bank),ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2daa,521278,7/20/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,APFL11-009,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.83194 64.82652),64.82652,-147.83194,,,,GPS,0-30,,,,East inlet on main float pond,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2da9,521277,7/20/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,APFL11-006,,Reconnaissance,no,0.125,Single species study,,,,POINT (-147.82835 64.8282),64.8282,-147.82835,,,,GPS,0-30,,,,East side of channel; between annex and main float pond,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2da8,521276,7/20/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,APFL11-001,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.82948 64.82541),64.82541,-147.82948,,,,GPS,0-30,,,,Floatpond Annex,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2da7,521274,7/20/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,APFL11-007,,Reconnaissance,no,0.25,Single species study,,,,POINT (-147.83003 64.82716),64.82716,-147.83003,,,,GPS,0-30,,,,Main float pond (NE of Eastern Bank),ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2da6,521273,7/20/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,APFL11-003,,Reconnaissance,no,0.5,Single species study,,,,POINT (-147.82497 64.82617),64.82617,-147.82497,,,,GPS,0-30,,,,NE corner of Float pond annex,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2da5,521272,7/20/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,APFL11-005,,Reconnaissance,no,0.25,Single species study,,,,POINT (-147.8268 64.82826),64.82826,-147.8268,,,,GPS,0-30,,,,nw corner of annex near channel to larger float pond,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
akepic_weed_observation_flat.fid--2f0727_1675e0d5d0d_-2da4,521271,7/20/2011,Fairbanks Elodea survey,"Peek, R.; Medinger, L.; Sharp, T.; Chardon, K.",SWCD,,APFL11-010,,Reconnaissance,no,0.25,Single species study,,,,POINT (-147.83318 64.82632),64.82632,-147.83318,,,,GPS,0-30,,,,S. side of Eastern Inlet of main float pond,ELODE,FALSE,,Elodea Michx. sp.,waterweed,Hydrocharitaceae,79,0,0,N/A,,Not Collected,None,,ELNU2 not found at this site,"Survey of Fairbanks area streams, lakes, and rivers for the aquatic invasive plant, Elodea nuttallii",,Changed Plant Species Code from 'NONE' to 'ELODE' (LAF),
