"","zoomLevel","orderCreat","trackName","boatLaunch","trackFrequ","trackFre_1","primaryPur","rank","responseID","km","StartDate","EndDate","IPAddress","Progress","Duration.s","Finished","RecordedDate","LocationLatitude","LocationLongitude","operateType","percentCom","percentGov","operateFresh","operateMarine","pax","hCostHigh","hCostLow","freshOutside","locOutside","purchaseOutside","purchaseYear","purchaseType","purchaseLoc","multiOwn","multiOwnEmail","age","persIncomeBtax","Clean","sportfishConc","boatingSafetyConc","recValueConc","businessConc","realEstateConc","subsistConc","biodivConc","commFishConc","volunteer","emailAsk","ObjectId","Shape__Length","wasInElodea","elodeaLoc1","elodeaLoc2","elodeaLoc3","LowerPre","UpperPre","freqPre","LowerPost","UpperPost","freqPost","hCost","totalKmPre","totalKmPost","YrCostPre","YrCostPost","totalTripsPre","totalTripsPost","routeCount","Income","ageBin","percentPer","type"
"11",12,3,"Lower Kenai- Dip Net","inStateFreshwater","Up to 4","Up to 4","Sport Fishing",3,"R_1gjfOLZSD1PRB2f",9.888227,"8/29/2018 8:09","8/29/2018 8:27","209.165.150.234",100,1082,TRUE,"8/29/2018 8:27",61.1454,-149.7664,"I operate boat(s) for personal reasons",0,0,"Yes","No",2,45,35,"No or did not report","","No",NA,"","","No","",60,"$150,001 - $200,000","100% of the time",5,3,3,1,2,2,2,1,"","",11,20071.95631,"No","","","",1,4,2,1,4,2,40,19.776454,19.776454,791.05816,791.05816,34,34,3,175000,"51-60",1,"personal"
"12",7,1,"Anchor","marineWaters","Up to 4","Up to 4","Sport Fishing",1,"R_27doxRY2YFgKADU",99.50083,"8/29/2018 8:28","8/29/2018 8:38","199.19.248.84",100,607,TRUE,"8/29/2018 8:38",37.78059,-121.9904,"I operate boat(s) for personal reasons",0,0,"Yes","Yes",1,5,0,"No or did not report","","No",NA,"","","No","",50,"$200,001 - $250,000","100% of the time",5,2,5,1,1,5,3,3,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.),Monitoring: a more involved protocol not only keeping an eye out for invasives but collecting water samples, etc.","gaveEmail",12,196893.8213,"No","","","",1,4,2,1,4,2,2.5,199.00166,199.00166,497.50415,497.50415,6,6,3,225000,"41-50",1,"personal"
"13",9,2,"Kenai","inStateFreshwater","Up to 4","Up to 4","Sport Fishing",2,"R_27doxRY2YFgKADU",17.32588,"8/29/2018 8:28","8/29/2018 8:38","199.19.248.84",100,607,TRUE,"8/29/2018 8:38",37.78059,-121.9904,"I operate boat(s) for personal reasons",0,0,"Yes","Yes",1,5,0,"No or did not report","","No",NA,"","","No","",50,"$200,001 - $250,000","100% of the time",5,2,5,1,1,5,3,3,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.),Monitoring: a more involved protocol not only keeping an eye out for invasives but collecting water samples, etc.","gaveEmail",13,35208.85671,"No","","","",1,4,2,1,4,2,2.5,34.65176,34.65176,86.6294,86.6294,6,6,3,225000,"41-50",1,"personal"
"14",9,3,"Kasilof","inStateFreshwater","Up to 4","Up to 4","Sport Fishing",3,"R_27doxRY2YFgKADU",10.38029,"8/29/2018 8:28","8/29/2018 8:38","199.19.248.84",100,607,TRUE,"8/29/2018 8:38",37.78059,-121.9904,"I operate boat(s) for personal reasons",0,0,"Yes","Yes",1,5,0,"No or did not report","","No",NA,"","","No","",50,"$200,001 - $250,000","100% of the time",5,2,5,1,1,5,3,3,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.),Monitoring: a more involved protocol not only keeping an eye out for invasives but collecting water samples, etc.","gaveEmail",14,20871.6481,"No","","","",1,4,2,1,4,2,2.5,20.76058,20.76058,51.90145,51.90145,6,6,3,225000,"41-50",1,"personal"
"15",12,1,"Big lake","inStateFreshwater","11 to 20","11 to 20","Cabin",1,"R_3qyPMBCJu7nOA3D",1.41334,"8/29/2018 8:53","8/29/2018 9:02","12.17.186.19",100,521,TRUE,"8/29/2018 9:02",61.15939,-149.8865,"I operate boat(s) for personal reasons",0,0,"Yes","Yes",2,8,8,"No or did not report","","No",NA,"","","No","",NA,"More than $250,000","100% of the time",2,1,5,5,5,5,3,4,"","",15,2959.009593,"No","","","",11,20,16,11,20,16,8,22.61344,22.61344,180.90752,180.90752,32,32,2,NA,NA,1,"personal"
"16",12,2,"biglake","inStateFreshwater","11 to 20","11 to 20","Cabin",2,"R_3qyPMBCJu7nOA3D",1.873659,"8/29/2018 8:53","8/29/2018 9:02","12.17.186.19",100,521,TRUE,"8/29/2018 9:02",61.15939,-149.8865,"I operate boat(s) for personal reasons",0,0,"Yes","Yes",2,8,8,"No or did not report","","No",NA,"","","No","",NA,"More than $250,000","100% of the time",2,1,5,5,5,5,3,4,"","",16,3935.022463,"No","","","",11,20,16,11,20,16,8,29.978544,29.978544,239.828352,239.828352,32,32,2,NA,NA,1,"personal"
"17",12,1,"Nancy lake Canoe","inStateFreshwater","Up to 4","Up to 4","Sport Fishing",1,"R_1jKdXoaykxea0dt",13.602,"8/29/2018 11:36","8/29/2018 11:44","199.158.14.148",100,428,TRUE,"8/29/2018 11:44",61.112,-149.9044,"I operate boat(s) for personal reasons",0,0,"Yes","No",4,NA,0,"No or did not report","","No",NA,"","","No","",46,"$100,001 - $125,000","Less than 100% of the time",5,2,5,5,3,5,5,5,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.)","",17,28629.32184,"No","","","",1,4,2,1,4,2,0,27.204,27.204,0,0,2,2,1,112500,"41-50",1,"personal"
"18",12,1,"work trip","marineWaters","75 to 100","Up to 4","Other",1,"R_1FSevhM9Y4aZiFU",11.53245,"8/29/2018 11:38","8/29/2018 11:51","23.235.111.207",100,779,TRUE,"8/29/2018 11:51",58.5813,-134.7698,"I operate boat(s) commercially",0.8,0,"Yes","Yes",2,50,25,"No or did not report","","Yes",2018,"Used","Washington","No","",34,"$50,001 - $75,000","Less than 100% of the time",5,1,5,1,1,5,5,5,"","",18,21913.23715,"No","","","",76,100,88,1,4,2,37.5,1014.8556,23.0649,38057.085,864.93375,176,4,2,62500,"31-40",0.2,"commercial"
"19",12,2,"work route","marineWaters","75 to 100","Up to 4","Other",2,"R_1FSevhM9Y4aZiFU",0.9099599,"8/29/2018 11:38","8/29/2018 11:51","23.235.111.207",100,779,TRUE,"8/29/2018 11:51",58.5813,-134.7698,"I operate boat(s) commercially",0.8,0,"Yes","Yes",2,50,25,"No or did not report","","Yes",2018,"Used","Washington","No","",34,"$50,001 - $75,000","Less than 100% of the time",5,1,5,1,1,5,5,5,"","",19,1734.970651,"No","","","",76,100,88,1,4,2,37.5,80.0764712,1.8199198,3002.86767,68.2469925,176,4,2,62500,"31-40",0.2,"commercial"
"20",11,1,"eagle rock to city dock","inStateFreshwater","Up to 4","Up to 4","Subsistence Fishing",1,"R_3r0rjU9nGSJDsBy",6.392587,"8/29/2018 12:16","8/29/2018 12:37","206.174.15.155",100,1252,TRUE,"8/29/2018 12:37",61.2149,-149.2583,"I operate boat(s) for personal reasons",0,0,"Yes","No",4,100,50,"No or did not report","","No",NA,"","","Yes","gaveEmail",67,"Less than $25,000","Less than 100% of the time",5,1,1,1,1,5,1,1,"","gaveEmail",20,13016.75687,"No","","","",1,4,2,1,4,2,75,12.785174,12.785174,958.88805,958.88805,2,2,1,12500,"61-70",1,"personal"
"21",12,1,"big lake","marineWaters","Up to 4","Up to 4","Cabin",4,"R_u7y4gwk9E9ZkDxT",5.245866,"8/29/2018 13:11","8/29/2018 13:26","158.145.224.113",100,900,TRUE,"8/29/2018 13:26",61.21809,-149.9003,"I operate boat(s) for personal reasons",0,0,"Yes","Yes",2,42,42,"No or did not report","","No",NA,"","","No","",35,"$100,001 - $125,000","100% of the time",5,1,4,3,3,5,4,2,"Monitoring: a more involved protocol not only keeping an eye out for invasives but collecting water samples, etc.","",21,10993.22204,"No","","","",1,4,2,1,4,2,42,10.491732,10.491732,440.652744,440.652744,8,8,4,112500,"31-40",1,"personal"
"22",12,2,"PWS 1","marineWaters","Up to 4","Up to 4","Sport Fishing",2,"R_u7y4gwk9E9ZkDxT",79.18639,"8/29/2018 13:11","8/29/2018 13:26","158.145.224.113",100,900,TRUE,"8/29/2018 13:26",61.21809,-149.9003,"I operate boat(s) for personal reasons",0,0,"Yes","Yes",2,42,42,"No or did not report","","No",NA,"","","No","",35,"$100,001 - $125,000","100% of the time",5,1,4,3,3,5,4,2,"Monitoring: a more involved protocol not only keeping an eye out for invasives but collecting water samples, etc.","",22,162293.96,"No","","","",1,4,2,1,4,2,42,158.37278,158.37278,6651.65676,6651.65676,8,8,4,112500,"31-40",1,"personal"
"23",12,3,"PWS2","marineWaters","Up to 4","Up to 4","Sport Fishing",1,"R_u7y4gwk9E9ZkDxT",153.1833,"8/29/2018 13:11","8/29/2018 13:26","158.145.224.113",100,900,TRUE,"8/29/2018 13:26",61.21809,-149.9003,"I operate boat(s) for personal reasons",0,0,"Yes","Yes",2,42,42,"No or did not report","","No",NA,"","","No","",35,"$100,001 - $125,000","100% of the time",5,1,4,3,3,5,4,2,"Monitoring: a more involved protocol not only keeping an eye out for invasives but collecting water samples, etc.","",23,312503.2296,"No","","","",1,4,2,1,4,2,42,306.3666,306.3666,12867.3972,12867.3972,8,8,4,112500,"31-40",1,"personal"
"24",12,4,"PWS3","marineWaters","Up to 4","Up to 4","Sport Fishing",3,"R_u7y4gwk9E9ZkDxT",275.0887,"8/29/2018 13:11","8/29/2018 13:26","158.145.224.113",100,900,TRUE,"8/29/2018 13:26",61.21809,-149.9003,"I operate boat(s) for personal reasons",0,0,"Yes","Yes",2,42,42,"No or did not report","","No",NA,"","","No","",35,"$100,001 - $125,000","100% of the time",5,1,4,3,3,5,4,2,"Monitoring: a more involved protocol not only keeping an eye out for invasives but collecting water samples, etc.","",24,556220.3015,"No","","","",1,4,2,1,4,2,42,550.1774,550.1774,23107.4508,23107.4508,8,8,4,112500,"31-40",1,"personal"
"25",6,1,"Bonnie Lake","inStateFreshwater","5 to 10","5 to 10","Cabin",1,"R_3neMKg8wyYHl8To",0.7210371,"8/29/2018 13:24","8/29/2018 13:38","66.58.247.253",100,827,TRUE,"8/29/2018 13:38",61.1886,-149.8878,"I operate boat(s) for personal reasons",0,0,"Yes","No",4,NA,NA,"No or did not report","","No",NA,"","","No","",65,"$25,001 - $50,000","Less than 100% of the time",4,5,5,1,3,1,4,1,"","gaveEmail",25,1519.671703,"No","","","",5,10,8,5,10,8,NA,5.7682968,5.7682968,NA,NA,8,8,1,37500,"61-70",1,"personal"
"26",12,1,"BIg Lake Sailing Club","inStateFreshwater","Up to 4","Up to 4","Other",1,"R_2Eyg4bu1yE1OEj1",3.625332,"8/29/2018 13:47","8/29/2018 13:59","24.237.208.115",100,736,TRUE,"8/29/2018 13:59",61.5235,-149.5748,"I operate boat(s) for personal reasons",0,0,"Yes","No",6,1,1,"No or did not report","","No",NA,"","","No","",39,"$100,001 - $125,000","Less than 100% of the time",4,5,4,5,3,3,4,3,"","",26,7572.280943,"No","","","",1,4,2,1,4,2,1,7.250664,7.250664,7.250664,7.250664,2,2,1,112500,"31-40",1,"personal"
"27",11,1,"unakwik inlet","marineWaters","Up to 4","Up to 4","Hunting",1,"R_CZTBTf4xwbdkd7H",191.9771,"8/29/2018 13:21","8/29/2018 14:01","216.67.18.64",100,2369,TRUE,"8/29/2018 14:01",61.2059,-149.8232,"I operate boat(s) for personal reasons",0,0,"Yes","Yes",2,40,10,"No or did not report","","No",NA,"","","No","",64,"$50,001 - $75,000","100% of the time",4,2,3,3,3,3,2,4,"","gaveEmail",27,393827.1316,"No","","","",1,4,2,1,4,2,25,383.9542,383.9542,9598.855,9598.855,5,6,3,62500,"61-70",1,"personal"
"28",11,2,"latouche island","marineWaters","Up to 4","Up to 4","Sport Fishing",2,"R_CZTBTf4xwbdkd7H",325.9897,"8/29/2018 13:21","8/29/2018 14:01","216.67.18.64",100,2369,TRUE,"8/29/2018 14:01",61.2059,-149.8232,"I operate boat(s) for personal reasons",0,0,"Yes","Yes",2,40,10,"No or did not report","","No",NA,"","","No","",64,"$50,001 - $75,000","100% of the time",4,2,3,3,3,3,2,4,"","gaveEmail",28,661302.6152,"No","","","",1,4,1,1,4,2,25,325.9897,651.9794,8149.7425,16299.485,5,6,3,62500,"61-70",1,"personal"
"29",10,3,"little su","marineWaters","Up to 4","Up to 4","Hunting",3,"R_CZTBTf4xwbdkd7H",88.49979,"8/29/2018 13:21","8/29/2018 14:01","216.67.18.64",100,2369,TRUE,"8/29/2018 14:01",61.2059,-149.8232,"I operate boat(s) for personal reasons",0,0,"Yes","Yes",2,40,10,"No or did not report","","No",NA,"","","No","",64,"$50,001 - $75,000","100% of the time",4,2,3,3,3,3,2,4,"","gaveEmail",29,183973.2294,"No","","","",1,4,2,1,4,2,25,176.99958,176.99958,4424.9895,4424.9895,5,6,3,62500,"61-70",1,"personal"
"30",12,3,"Home lake","inStateFreshwater","5 to 10","Up to 4","Sport Fishing",1,"R_x9pc6mjHAm4CfKN",2.168962,"8/29/2018 14:16","8/29/2018 15:36","66.223.176.197",100,4775,TRUE,"8/29/2018 15:36",64.9006,-148.1613,"I operate boat(s) for personal reasons",0,0,"Yes","No",4,10,10,"No or did not report","","No",NA,"","","No","",72,"$100,001 - $125,000","Less than 100% of the time",3,5,4,3,3,3,3,3,"Monitoring: a more involved protocol not only keeping an eye out for invasives but collecting water samples, etc.","gaveEmail",30,5073.928073,"No","","","",5,10,8,1,4,2,10,17.351696,4.337924,173.51696,43.37924,8,2,1,112500,"71-80",1,"personal"
"31",12,1,"pillars","inStateFreshwater","Up to 4","Up to 4","Sport Fishing",1,"R_2ru8EBm7PPcT14F",1.472567,"8/29/2018 15:54","8/29/2018 16:07","66.230.113.201",100,768,TRUE,"8/29/2018 16:07",61.1454,-149.7664,"I operate boat(s) for personal reasons",0,0,"Yes","No",3,NA,NA,"No or did not report","","No",NA,"","","No","",67,"$50,001 - $75,000","Less than 100% of the time",5,NA,5,NA,NA,NA,NA,NA,"","",31,2983.854321,"No","","","",1,4,2,1,4,2,NA,2.945134,2.945134,NA,NA,2,2,1,62500,"61-70",1,"personal"
"32",12,1,"Sandy River","outOfStateFreshwater","41 to 50","41 to 50","Sport Fishing",1,"R_2SiCP83GjZhwr12",18.52817,"8/29/2018 16:21","8/29/2018 16:30","206.174.34.128",100,503,TRUE,"8/29/2018 16:30",61.2231,-149.8528,"I operate boat(s) commercially",0.2,0,"Yes","No",2,8,5,"No or did not report","","No",NA,"","","No","",47,"$50,001 - $75,000","Less than 100% of the time",5,1,5,5,1,1,5,1,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.)","gaveEmail",32,33310.78423,"No","","","",41,50,46,41,50,46,6.5,852.29582,852.29582,5539.92283,5539.92283,46,46,1,62500,"41-50",0.8,"personal"
"33",12,1,"Kenai Lake","inStateFreshwater","Up to 4","Up to 4","Sport Fishing",1,"R_3qdoUUabCvFaZI1",28.79947,"8/29/2018 17:12","8/29/2018 17:20","206.174.1.197",100,484,TRUE,"8/29/2018 17:20",61.1777,-149.6384,"I operate boat(s) for personal reasons",0,0,"Yes","No",3,10,5,"No or did not report","","No",NA,"","","No","",30,"$100,001 - $125,000","Less than 100% of the time",5,5,5,1,1,1,5,1,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.)","gaveEmail",33,58206.33534,"No","","","",1,4,2,1,4,2,7.5,57.59894,57.59894,431.99205,431.99205,4,4,2,112500,"21-30",1,"personal"
"34",12,2,"Tangle Lakes","inStateFreshwater","Up to 4","Up to 4","Camping",2,"R_3qdoUUabCvFaZI1",13.50511,"8/29/2018 17:12","8/29/2018 17:20","206.174.1.197",100,484,TRUE,"8/29/2018 17:20",61.1777,-149.6384,"I operate boat(s) for personal reasons",0,0,"Yes","No",3,10,5,"No or did not report","","No",NA,"","","No","",30,"$100,001 - $125,000","Less than 100% of the time",5,5,5,1,1,1,5,1,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.)","gaveEmail",34,29746.9514,"No","","","",1,4,2,1,4,2,7.5,27.01022,27.01022,202.57665,202.57665,4,4,2,112500,"21-30",1,"personal"
"35",11,1,"antler","marineWaters","Up to 4","Up to 4","Sport Fishing",1,"R_xgrMcTZ9aleYNhv",59.607,"8/29/2018 21:11","8/29/2018 21:19","24.237.3.125",100,483,TRUE,"8/29/2018 21:19",58.5813,-134.7698,"I operate boat(s) for personal reasons",0,0,"Yes","Yes",2,75,18,"No or did not report","","No",NA,"","","No","",61,"$125,001 - $150,000","100% of the time",4,1,3,1,1,1,1,3,"","",35,114710.6729,"No","","","",1,4,2,1,4,2,46.5,119.214,119.214,5543.451,5543.451,2,2,1,137500,"61-70",1,"personal"
"36",12,1,"Takotna - Nixon","inStateFreshwater","11 to 20","11 to 20","Cabin",1,"R_1LHHromkSrYDVDf",57.81516,"8/29/2018 22:54","8/29/2018 23:15","184.21.124.185",100,1234,TRUE,"8/29/2018 23:15",37.9617,-121.2607,"I operate boat(s) for personal reasons",0,0,"Yes","No",30,30,30,"No or did not report","","No",NA,"","","No","",81,"$50,001 - $75,000","100% of the time",3,NA,2,NA,NA,5,4,NA,"","gaveEmail",36,127146.298,"No","","","",11,20,16,11,20,16,30,925.04256,925.04256,27751.2768,27751.2768,16,16,1,62500,">80",1,"personal"
"37",12,1,"Anna Lake","inStateFreshwater","41 to 50","Up to 4","Bird watching",1,"R_2eQgEgkyfV6E9sM",0.2857542,"8/30/2018 6:23","8/30/2018 6:31","66.223.209.225",100,489,TRUE,"8/30/2018 6:31",61.1454,-149.7664,"I operate boat(s) for personal reasons",0,0,"Yes","No",3,20,5,"No or did not report","","No",NA,"","","No","",52,"$200,001 - $250,000","100% of the time",5,5,5,3,3,5,4,4,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.),Monitoring: a more involved protocol not only keeping an eye out for invasives but collecting water samples, etc.","gaveEmail",37,598.2143693,"No","","","",41,50,46,1,4,2,12.5,13.1446932,0.5715084,164.308665,7.143855,46,2,1,225000,"51-60",1,"personal"
"38",12,1,"Dip Net","inStateFreshwater","Up to 4","Up to 4","Subsistence Fishing",1,"R_9vHH9Q0D7sUgu4N",13.55037,"8/30/2018 7:32","8/30/2018 7:39","173.239.195.119",100,413,TRUE,"8/30/2018 7:40",40.49809,-74.3194,"I operate boat(s) for personal reasons",0,0,"Yes","No",2,10,10,"No or did not report","","No",NA,"","","No","",45,"$200,001 - $250,000","Less than 100% of the time",5,NA,NA,NA,NA,5,NA,NA,"","gaveEmail",38,27493.13466,"No","","","",1,4,2,1,4,2,10,27.10074,27.10074,271.0074,271.0074,2,2,1,225000,"41-50",1,"personal"
"39",12,1,"LIL SU","outOfStateFreshwater","Up to 4","Up to 4","Sport Fishing",2,"R_20Mp2Spj3W2DCNQ",13.7733,"8/30/2018 7:37","8/30/2018 7:48","63.140.122.118",100,657,TRUE,"8/30/2018 7:48",61.2059,-149.8232,"I operate boat(s) for personal reasons",0,0,"Yes","Yes",3,50,20,"No or did not report","","No",NA,"","","No","",52,"$100,001 - $125,000","Less than 100% of the time",5,NA,NA,NA,NA,5,5,NA,"Reporting: keeping an eye out for invasive plants and animals after each boat trip and report sightings?(Note, convenient and user-friendly reporting tools are available, such as smart phone apps.),Monitoring: a more involved protocol not only keeping an eye out for invasives but collecting water samples, etc.,Decontamination: conducting training and workshops","gaveEmail",39,28690.65277,"No","","","",1,4,2,1,4,2,35,27.5466,27.5466,964.131,964.131,54,20,3,112500,"51-60",1,"personal"
